Arongan Lambalek, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 1
Waigeo Timur, Raja Ampat, Papua Barat, 5271
Waigeo Utara, Raja Ampat, Papua Barat, 5272
Warwabomi, Raja Ampat, Papua Barat, 5273
Bermani Ulu, Rejang Lebong, Bengkulu, 5274
Bermani Ulu Raya, Rejang Lebong, Bengkulu, 5275
Binduriang, Rejang Lebong, Bengkulu, 5276
Curup, Rejang Lebong, Bengkulu, 5277
Curup Selatan, Rejang Lebong, Bengkulu, 5278
Curup Tengah, Rejang Lebong, Bengkulu, 5279
Curup Timur, Rejang Lebong, Bengkulu, 5280
Curup Utara, Rejang Lebong, Bengkulu, 5281
Kota Padang, Rejang Lebong, Bengkulu, 5282
Padang Ulak Tanding, Rejang Lebong, Bengkulu, 5283
Selupu Rejang, Rejang Lebong, Bengkulu, 5284
Sindang Beliti Ilir, Rejang Lebong, Bengkulu, 5285
Sindang Beliti Ulu, Rejang Lebong, Bengkulu, 5286
Sindang Daratan, Rejang Lebong, Bengkulu, 5287
Sindang Kelingi, Rejang Lebong, Bengkulu, 5288
Bulu, Rembang, Jawa Tengah, 5289
Gunem, Rembang, Jawa Tengah, 5290
Kaliori, Rembang, Jawa Tengah, 5291
Kragan, Rembang, Jawa Tengah, 5292
Lasem, Rembang, Jawa Tengah, 5293
Pamotan, Rembang, Jawa Tengah, 5294
Pancur, Rembang, Jawa Tengah, 5295
Rembang, Rembang, Jawa Tengah, 5296
Sale, Rembang, Jawa Tengah, 5297
Sarang, Rembang, Jawa Tengah, 5298
Sedan, Rembang, Jawa Tengah, 5299
Sluke, Rembang, Jawa Tengah, 5300
Sulang, Rembang, Jawa Tengah, 5301
Sumber, Rembang, Jawa Tengah, 5302
Bagan Sinembah, Rokan Hilir, Riau, 5303
Bangko, Rokan Hilir, Riau, 5304
Bangko Pusaka (Pusako), Rokan Hilir, Riau, 5305
Batu Hampar, Rokan Hilir, Riau, 5306
Kubu, Rokan Hilir, Riau, 5307
Kubu Babussalam, Rokan Hilir, Riau, 5308
Pasir Limau Kapas, Rokan Hilir, Riau, 5309
Pekaitan, Rokan Hilir, Riau, 5310
Pujud, Rokan Hilir, Riau, 5311
Rantau Kopar, Rokan Hilir, Riau, 5312
Rimba Melintang, Rokan Hilir, Riau, 5313
Simpang Kanan, Rokan Hilir, Riau, 5314
Sinaboi (Senaboi), Rokan Hilir, Riau, 5315
Tanah Putih, Rokan Hilir, Riau, 5316
Tanah Putih Tanjung Melawan, Rokan Hilir, Riau, 5317
Bangun Purba, Rokan Hulu, Riau, 5318
Bonai Darussalam, Rokan Hulu, Riau, 5319
Kabun, Rokan Hulu, Riau, 5320
Kepenuhan, Rokan Hulu, Riau, 5321
Kepenuhan Hulu, Rokan Hulu, Riau, 5322
Kunto Darussalam, Rokan Hulu, Riau, 5323
Pagaran Tapah Darussalam, Rokan Hulu, Riau, 5324
Pendalian IV Koto, Rokan Hulu, Riau, 5325
Rambah, Rokan Hulu, Riau, 5326
Rambah Hilir, Rokan Hulu, Riau, 5327
Rambah Samo, Rokan Hulu, Riau, 5328
Rokan IV Koto, Rokan Hulu, Riau, 5329
Tambusai, Rokan Hulu, Riau, 5330
Tambusai Utara, Rokan Hulu, Riau, 5331
Tandun, Rokan Hulu, Riau, 5332
Ujung Batu, Rokan Hulu, Riau, 5333
Landu Leko, Rote Ndao, Nusa Tenggara Timur (NTT), 5334
Lobalain, Rote Ndao, Nusa Tenggara Timur (NTT), 5335
Ndao Nuse, Rote Ndao, Nusa Tenggara Timur (NTT), 5336
Pantai Baru, Rote Ndao, Nusa Tenggara Timur (NTT), 5337
Rote Barat, Rote Ndao, Nusa Tenggara Timur (NTT), 5338
Rote Barat Daya, Rote Ndao, Nusa Tenggara Timur (NTT), 5339
Rote Barat Laut, Rote Ndao, Nusa Tenggara Timur (NTT), 5340
Rote Selatan, Rote Ndao, Nusa Tenggara Timur (NTT), 5341
Rote Tengah, Rote Ndao, Nusa Tenggara Timur (NTT), 5342
Rote Timur, Rote Ndao, Nusa Tenggara Timur (NTT), 5343
Sukajaya, Sabang, Nanggroe Aceh Darussalam (NAD), 5344
Sukakarya, Sabang, Nanggroe Aceh Darussalam (NAD), 5345
Hawu Mehara, Sabu Raijua, Nusa Tenggara Timur (NTT), 5346
Raijua, Sabu Raijua, Nusa Tenggara Timur (NTT), 5347
Sabu Barat, Sabu Raijua, Nusa Tenggara Timur (NTT), 5348
Sabu Liae, Sabu Raijua, Nusa Tenggara Timur (NTT), 5349
Sabu Tengah, Sabu Raijua, Nusa Tenggara Timur (NTT), 5350
Sabu Timur, Sabu Raijua, Nusa Tenggara Timur (NTT), 5351
Argomulyo, Salatiga, Jawa Tengah, 5352
Sidomukti, Salatiga, Jawa Tengah, 5353
Sidorejo, Salatiga, Jawa Tengah, 5354
Tingkir, Salatiga, Jawa Tengah, 5355
Loa Janan Ilir, Samarinda, Kalimantan Timur, 5356
Palaran, Samarinda, Kalimantan Timur, 5357
Samarinda Ilir, Samarinda, Kalimantan Timur, 5358
Samarinda Kota, Samarinda, Kalimantan Timur, 5359
Samarinda Seberang, Samarinda, Kalimantan Timur, 5360
Samarinda Ulu, Samarinda, Kalimantan Timur, 5361
Samarinda Utara, Samarinda, Kalimantan Timur, 5362
Sambutan, Samarinda, Kalimantan Timur, 5363
Sungai Kunjang, Samarinda, Kalimantan Timur, 5364
Sungai Pinang, Samarinda, Kalimantan Timur, 5365
Galing, Sambas, Kalimantan Barat, 5366
Jawai, Sambas, Kalimantan Barat, 5367
Jawai Selatan, Sambas, Kalimantan Barat, 5368
Paloh, Sambas, Kalimantan Barat, 5369
Pemangkat, Sambas, Kalimantan Barat, 5370
Sajad, Sambas, Kalimantan Barat, 5371
Sajingan Besar, Sambas, Kalimantan Barat, 5372
Salatiga, Sambas, Kalimantan Barat, 5373
Sambas, Sambas, Kalimantan Barat, 5374
Sebawi, Sambas, Kalimantan Barat, 5375
Sejangkung, Sambas, Kalimantan Barat, 5376
Selakau, Sambas, Kalimantan Barat, 5377
Selakau Timur, Sambas, Kalimantan Barat, 5378
Semparuk, Sambas, Kalimantan Barat, 5379
Subah, Sambas, Kalimantan Barat, 5380
Tangaran, Sambas, Kalimantan Barat, 5381
Tebas, Sambas, Kalimantan Barat, 5382
Tekarang, Sambas, Kalimantan Barat, 5383
Teluk Keramat, Sambas, Kalimantan Barat, 5384
Harian, Samosir, Sumatera Utara, 5385
Nainggolan, Samosir, Sumatera Utara, 5386
Onan Runggu, Samosir, Sumatera Utara, 5387
Palipi, Samosir, Sumatera Utara, 5388
Pangururan, Samosir, Sumatera Utara, 5389
Ronggur Nihuta, Samosir, Sumatera Utara, 5390
Sianjur Mula-Mula, Samosir, Sumatera Utara, 5391
Simanindo, Samosir, Sumatera Utara, 5392
Sitio-Tio, Samosir, Sumatera Utara, 5393
Banyuates, Sampang, Jawa Timur, 5394
Camplong, Sampang, Jawa Timur, 5395
Jrengik, Sampang, Jawa Timur, 5396
Karang Penang, Sampang, Jawa Timur, 5397
Kedungdung, Sampang, Jawa Timur, 5398
Ketapang, Sampang, Jawa Timur, 5399
Omben, Sampang, Jawa Timur, 5400
Pangarengan, Sampang, Jawa Timur, 5401
Robatal, Sampang, Jawa Timur, 5402
Sampang, Sampang, Jawa Timur, 5403
Sokobanah, Sampang, Jawa Timur, 5404
Sreseh, Sampang, Jawa Timur, 5405
Tambelangan, Sampang, Jawa Timur, 5406
Torjun, Sampang, Jawa Timur, 5407
Balai, Sanggau, Kalimantan Barat, 5408
Beduai (Beduwai), Sanggau, Kalimantan Barat, 5409
Bonti, Sanggau, Kalimantan Barat, 5410
Entikong, Sanggau, Kalimantan Barat, 5411
Jangkang, Sanggau, Kalimantan Barat, 5412
Kapuas (Sanggau Kapuas), Sanggau, Kalimantan Barat, 5413
Kembayan, Sanggau, Kalimantan Barat, 5414
Meliau, Sanggau, Kalimantan Barat, 5415
Mukok, Sanggau, Kalimantan Barat, 5416
Noyan, Sanggau, Kalimantan Barat, 5417
Parindu, Sanggau, Kalimantan Barat, 5418
Sekayam, Sanggau, Kalimantan Barat, 5419
Tayan Hilir, Sanggau, Kalimantan Barat, 5420
Tayan Hulu, Sanggau, Kalimantan Barat, 5421
Toba, Sanggau, Kalimantan Barat, 5422
Apawer Hulu, Sarmi, Papua, 5423
Bonggo, Sarmi, Papua, 5424
Bonggo Timur, Sarmi, Papua, 5425
Pantai Barat, Sarmi, Papua, 5426
Pantai Timur, Sarmi, Papua, 5427
Pantai Timur Barat, Sarmi, Papua, 5428
Sarmi, Sarmi, Papua, 5429
Sarmi Selatan, Sarmi, Papua, 5430
Sarmi Timur, Sarmi, Papua, 5431
Tor Atas, Sarmi, Papua, 5432
Air Hitam, Sarolangun, Jambi, 5433
Batang Asai, Sarolangun, Jambi, 5434
Bathin VIII (Batin VIII), Sarolangun, Jambi, 5435
Cermin Nan Gadang, Sarolangun, Jambi, 5436
Limun, Sarolangun, Jambi, 5437
Mandiangin, Sarolangun, Jambi, 5438
Pauh, Sarolangun, Jambi, 5439
Pelawan, Sarolangun, Jambi, 5440
Sarolangun, Sarolangun, Jambi, 5441
Singkut, Sarolangun, Jambi, 5442
Barangin, Sawah Lunto, Sumatera Barat, 5443
Lembah Segar, Sawah Lunto, Sumatera Barat, 5444
Silungkang, Sawah Lunto, Sumatera Barat, 5445
Talawi, Sawah Lunto, Sumatera Barat, 5446
Belitang, Sekadau, Kalimantan Barat, 5447
Belitang Hilir, Sekadau, Kalimantan Barat, 5448
Belitang Hulu, Sekadau, Kalimantan Barat, 5449
Nanga Mahap, Sekadau, Kalimantan Barat, 5450
Nanga Taman, Sekadau, Kalimantan Barat, 5451
Sekadau Hilir, Sekadau, Kalimantan Barat, 5452
Sekadau Hulu, Sekadau, Kalimantan Barat, 5453
Benteng, Selayar (Kepulauan Selayar), Sulawesi Selatan, 5454
Bontoharu, Selayar (Kepulauan Selayar), Sulawesi Selatan, 5455
Bontomanai, Selayar (Kepulauan Selayar), Sulawesi Selatan, 5456
Bontomatene, Selayar (Kepulauan Selayar), Sulawesi Selatan, 5457
Bontosikuyu, Selayar (Kepulauan Selayar), Sulawesi Selatan, 5458
Buki, Selayar (Kepulauan Selayar), Sulawesi Selatan, 5459
Pasilambena, Selayar (Kepulauan Selayar), Sulawesi Selatan, 5460
Pasimarannu, Selayar (Kepulauan Selayar), Sulawesi Selatan, 5461
Pasimassunggu, Selayar (Kepulauan Selayar), Sulawesi Selatan, 5462
Pasimasunggu Timur, Selayar (Kepulauan Selayar), Sulawesi Selatan, 5463
Takabonerate, Selayar (Kepulauan Selayar), Sulawesi Selatan, 5464
Air Periukan, Seluma, Bengkulu, 5465
Ilir Talo, Seluma, Bengkulu, 5466
Lubuk Sandi, Seluma, Bengkulu, 5467
Seluma, Seluma, Bengkulu, 5468
Seluma Barat, Seluma, Bengkulu, 5469
Seluma Selatan, Seluma, Bengkulu, 5470
Seluma Timur, Seluma, Bengkulu, 5471
Seluma Utara, Seluma, Bengkulu, 5472
Semidang Alas, Seluma, Bengkulu, 5473
Semidang Alas Maras, Seluma, Bengkulu, 5474
Sukaraja, Seluma, Bengkulu, 5475
Talo, Seluma, Bengkulu, 5476
Talo Kecil, Seluma, Bengkulu, 5477
Ulu Talo, Seluma, Bengkulu, 5478
Ambarawa, Semarang, Jawa Tengah, 5479
Bancak, Semarang, Jawa Tengah, 5480
Bandungan, Semarang, Jawa Tengah, 5481
Banyubiru, Semarang, Jawa Tengah, 5482
Bawen, Semarang, Jawa Tengah, 5483
Bergas, Semarang, Jawa Tengah, 5484
Bringin, Semarang, Jawa Tengah, 5485
Getasan, Semarang, Jawa Tengah, 5486
Jambu, Semarang, Jawa Tengah, 5487
Kaliwungu, Semarang, Jawa Tengah, 5488
Pabelan, Semarang, Jawa Tengah, 5489
Pringapus, Semarang, Jawa Tengah, 5490
Sumowono, Semarang, Jawa Tengah, 5491
Suruh, Semarang, Jawa Tengah, 5492
Susukan, Semarang, Jawa Tengah, 5493
Tengaran, Semarang, Jawa Tengah, 5494
Tuntang, Semarang, Jawa Tengah, 5495
Ungaran Barat, Semarang, Jawa Tengah, 5496
Ungaran Timur, Semarang, Jawa Tengah, 5497
Banyumanik, Semarang, Jawa Tengah, 5498
Candisari, Semarang, Jawa Tengah, 5499
Gajah Mungkur, Semarang, Jawa Tengah, 5500
Gayamsari, Semarang, Jawa Tengah, 5501
Genuk, Semarang, Jawa Tengah, 5502
Gunungpati, Semarang, Jawa Tengah, 5503
Mijen, Semarang, Jawa Tengah, 5504
Ngaliyan, Semarang, Jawa Tengah, 5505
Pedurungan, Semarang, Jawa Tengah, 5506
Semarang Barat, Semarang, Jawa Tengah, 5507
Semarang Selatan, Semarang, Jawa Tengah, 5508
Semarang Tengah, Semarang, Jawa Tengah, 5509
Semarang Timur, Semarang, Jawa Tengah, 5510
Semarang Utara, Semarang, Jawa Tengah, 5511
Tembalang, Semarang, Jawa Tengah, 5512
Tugu, Semarang, Jawa Tengah, 5513
Amalatu, Seram Bagian Barat, Maluku, 5514
Elpaputih, Seram Bagian Barat, Maluku, 5515
Huamual, Seram Bagian Barat, Maluku, 5516
Huamual Belakang (Waisala), Seram Bagian Barat, Maluku, 5517
Inamosol, Seram Bagian Barat, Maluku, 5518
Kairatu, Seram Bagian Barat, Maluku, 5519
Kairatu Barat, Seram Bagian Barat, Maluku, 5520
Kepulauan Manipa, Seram Bagian Barat, Maluku, 5521
Seram Barat, Seram Bagian Barat, Maluku, 5522
Taniwel, Seram Bagian Barat, Maluku, 5523
Taniwel Timur, Seram Bagian Barat, Maluku, 5524
Bula, Seram Bagian Timur, Maluku, 5525
Bula Barat, Seram Bagian Timur, Maluku, 5526
Gorom Timur, Seram Bagian Timur, Maluku, 5527
Kian Darat, Seram Bagian Timur, Maluku, 5528
Kilmury, Seram Bagian Timur, Maluku, 5529
Pulau Gorong (Gorom), Seram Bagian Timur, Maluku, 5530
Pulau Panjang, Seram Bagian Timur, Maluku, 5531
Seram Timur, Seram Bagian Timur, Maluku, 5532
Siritaun Wida Timur, Seram Bagian Timur, Maluku, 5533
Siwalalat, Seram Bagian Timur, Maluku, 5534
Teluk Waru, Seram Bagian Timur, Maluku, 5535
Teor, Seram Bagian Timur, Maluku, 5536
Tutuk Tolu, Seram Bagian Timur, Maluku, 5537
Wakate, Seram Bagian Timur, Maluku, 5538
Werinama, Seram Bagian Timur, Maluku, 5539
Anyar, Serang, Banten, 5540
Bandung, Serang, Banten, 5541
Baros, Serang, Banten, 5542
Binuang, Serang, Banten, 5543
Bojonegara, Serang, Banten, 5544
Carenang (Cerenang), Serang, Banten, 5545
Cikande, Serang, Banten, 5546
Cikeusal, Serang, Banten, 5547
Cinangka, Serang, Banten, 5548
Ciomas, Serang, Banten, 5549
Ciruas, Serang, Banten, 5550
Gunungsari, Serang, Banten, 5551
Jawilan, Serang, Banten, 5552
Kibin, Serang, Banten, 5553
Kopo, Serang, Banten, 5554
Kragilan, Serang, Banten, 5555
Kramatwatu, Serang, Banten, 5556
Lebak Wangi, Serang, Banten, 5557
Mancak, Serang, Banten, 5558
Pabuaran, Serang, Banten, 5559
Padarincang, Serang, Banten, 5560
Pamarayan, Serang, Banten, 5561
Petir, Serang, Banten, 5562
Pontang, Serang, Banten, 5563
Pulo Ampel, Serang, Banten, 5564
Tanara, Serang, Banten, 5565
Tirtayasa, Serang, Banten, 5566
Tunjung Teja, Serang, Banten, 5567
Waringin Kurung, Serang, Banten, 5568
Cipocok Jaya, Serang, Banten, 5569
Curug, Serang, Banten, 5570
Kasemen, Serang, Banten, 5571
Serang, Serang, Banten, 5572
Taktakan, Serang, Banten, 5573
Walantaka, Serang, Banten, 5574
Bandar Khalifah, Serdang Bedagai, Sumatera Utara, 5575
Bintang Bayu, Serdang Bedagai, Sumatera Utara, 5576
Dolok Masihul, Serdang Bedagai, Sumatera Utara, 5577
Dolok Merawan, Serdang Bedagai, Sumatera Utara, 5578
Kotarih, Serdang Bedagai, Sumatera Utara, 5579
Pantai Cermin, Serdang Bedagai, Sumatera Utara, 5580
Pegajahan, Serdang Bedagai, Sumatera Utara, 5581
Perbaungan, Serdang Bedagai, Sumatera Utara, 5582
Sei Bamban, Serdang Bedagai, Sumatera Utara, 5583
Sei Rampah, Serdang Bedagai, Sumatera Utara, 5584
Serba Jadi, Serdang Bedagai, Sumatera Utara, 5585
Silinda, Serdang Bedagai, Sumatera Utara, 5586
Sipispis, Serdang Bedagai, Sumatera Utara, 5587
Tanjung Beringin, Serdang Bedagai, Sumatera Utara, 5588
Tebing Syahbandar, Serdang Bedagai, Sumatera Utara, 5589
Tebing Tinggi, Serdang Bedagai, Sumatera Utara, 5590
Teluk Mengkudu, Serdang Bedagai, Sumatera Utara, 5591
Batu Ampar, Seruyan, Kalimantan Tengah, 5592
Danau Seluluk, Seruyan, Kalimantan Tengah, 5593
Danau Sembuluh, Seruyan, Kalimantan Tengah, 5594
Hanau, Seruyan, Kalimantan Tengah, 5595
Seruyan Hilir, Seruyan, Kalimantan Tengah, 5596
Seruyan Hilir Timur, Seruyan, Kalimantan Tengah, 5597
Seruyan Hulu, Seruyan, Kalimantan Tengah, 5598
Seruyan Raya, Seruyan, Kalimantan Tengah, 5599
Seruyan Tengah, Seruyan, Kalimantan Tengah, 5600
Suling Tambun, Seruyan, Kalimantan Tengah, 5601
Bunga Raya, Siak, Riau, 5602
Dayun, Siak, Riau, 5603
Kandis, Siak, Riau, 5604
Kerinci Kanan, Siak, Riau, 5605
Koto Gasib, Siak, Riau, 5606
Lubuk Dalam, Siak, Riau, 5607
Mempura, Siak, Riau, 5608
Minas, Siak, Riau, 5609
Pusako, Siak, Riau, 5610
Sabak Auh, Siak, Riau, 5611
Siak, Siak, Riau, 5612
Sungai Apit, Siak, Riau, 5613
Sungai Mandau, Siak, Riau, 5614
Tualang, Siak, Riau, 5615
Sibolga Kota, Sibolga, Sumatera Utara, 5616
Sibolga Sambas, Sibolga, Sumatera Utara, 5617
Sibolga Selatan, Sibolga, Sumatera Utara, 5618
Sibolga Utara, Sibolga, Sumatera Utara, 5619
Baranti, Sidenreng Rappang/Rapang, Sulawesi Selatan, 5620
Dua Pitue, Sidenreng Rappang/Rapang, Sulawesi Selatan, 5621
Kulo, Sidenreng Rappang/Rapang, Sulawesi Selatan, 5622
Maritengngae, Sidenreng Rappang/Rapang, Sulawesi Selatan, 5623
Panca Lautan (Lautang), Sidenreng Rappang/Rapang, Sulawesi Selatan, 5624
Panca Rijang, Sidenreng Rappang/Rapang, Sulawesi Selatan, 5625
Pitu Raise/Riase, Sidenreng Rappang/Rapang, Sulawesi Selatan, 5626
Pitu Riawa, Sidenreng Rappang/Rapang, Sulawesi Selatan, 5627
Tellu Limpoe, Sidenreng Rappang/Rapang, Sulawesi Selatan, 5628
Watang Pulu, Sidenreng Rappang/Rapang, Sulawesi Selatan, 5629
Wattang Sidenreng (Watang Sidenreng), Sidenreng Rappang/Rapang, Sulawesi Selatan, 5630
Balongbendo, Sidoarjo, Jawa Timur, 5631
Buduran, Sidoarjo, Jawa Timur, 5632
Candi, Sidoarjo, Jawa Timur, 5633
Gedangan, Sidoarjo, Jawa Timur, 5634
Jabon, Sidoarjo, Jawa Timur, 5635
Krembung, Sidoarjo, Jawa Timur, 5636
Krian, Sidoarjo, Jawa Timur, 5637
Porong, Sidoarjo, Jawa Timur, 5638
Prambon, Sidoarjo, Jawa Timur, 5639
Sedati, Sidoarjo, Jawa Timur, 5640
Sidoarjo, Sidoarjo, Jawa Timur, 5641
Sukodono, Sidoarjo, Jawa Timur, 5642
Taman, Sidoarjo, Jawa Timur, 5643
Tanggulangin, Sidoarjo, Jawa Timur, 5644
Tarik, Sidoarjo, Jawa Timur, 5645
Tulangan, Sidoarjo, Jawa Timur, 5646
Waru, Sidoarjo, Jawa Timur, 5647
Wonoayu, Sidoarjo, Jawa Timur, 5648
Dolo, Sigi, Sulawesi Tengah, 5649
Dolo Barat, Sigi, Sulawesi Tengah, 5650
Dolo Selatan, Sigi, Sulawesi Tengah, 5651
Gumbasa, Sigi, Sulawesi Tengah, 5652
Kinovaru, Sigi, Sulawesi Tengah, 5653
Kulawi, Sigi, Sulawesi Tengah, 5654
Kulawi Selatan, Sigi, Sulawesi Tengah, 5655
Lindu, Sigi, Sulawesi Tengah, 5656
Marawola, Sigi, Sulawesi Tengah, 5657
Marawola Barat, Sigi, Sulawesi Tengah, 5658
Nokilalaki, Sigi, Sulawesi Tengah, 5659
Palolo, Sigi, Sulawesi Tengah, 5660
Pipikoro, Sigi, Sulawesi Tengah, 5661
Sigi Biromaru, Sigi, Sulawesi Tengah, 5662
Tanambulava, Sigi, Sulawesi Tengah, 5663
IV Nagari, Sijunjung (Sawah Lunto Sijunjung), Sumatera Barat, 5664
Kamang Baru, Sijunjung (Sawah Lunto Sijunjung), Sumatera Barat, 5665
Koto VII, Sijunjung (Sawah Lunto Sijunjung), Sumatera Barat, 5666
Kupitan, Sijunjung (Sawah Lunto Sijunjung), Sumatera Barat, 5667
Lubuak Tarok, Sijunjung (Sawah Lunto Sijunjung), Sumatera Barat, 5668
Sijunjung, Sijunjung (Sawah Lunto Sijunjung), Sumatera Barat, 5669
Sumpur Kudus, Sijunjung (Sawah Lunto Sijunjung), Sumatera Barat, 5670
Tanjung Gadang, Sijunjung (Sawah Lunto Sijunjung), Sumatera Barat, 5671
Alok, Sikka, Nusa Tenggara Timur (NTT), 5672
Alok Barat, Sikka, Nusa Tenggara Timur (NTT), 5673
Alok Timur, Sikka, Nusa Tenggara Timur (NTT), 5674
Bola, Sikka, Nusa Tenggara Timur (NTT), 5675
Doreng, Sikka, Nusa Tenggara Timur (NTT), 5676
Hewokloang, Sikka, Nusa Tenggara Timur (NTT), 5677
Kangae, Sikka, Nusa Tenggara Timur (NTT), 5678
Kewapante, Sikka, Nusa Tenggara Timur (NTT), 5679
Koting, Sikka, Nusa Tenggara Timur (NTT), 5680
Lela, Sikka, Nusa Tenggara Timur (NTT), 5681
Magepanda, Sikka, Nusa Tenggara Timur (NTT), 5682
Mapitara, Sikka, Nusa Tenggara Timur (NTT), 5683
Mego, Sikka, Nusa Tenggara Timur (NTT), 5684
Nelle (Maumerei), Sikka, Nusa Tenggara Timur (NTT), 5685
Nita, Sikka, Nusa Tenggara Timur (NTT), 5686
Paga, Sikka, Nusa Tenggara Timur (NTT), 5687
Palue, Sikka, Nusa Tenggara Timur (NTT), 5688
Talibura, Sikka, Nusa Tenggara Timur (NTT), 5689
Tana Wawo, Sikka, Nusa Tenggara Timur (NTT), 5690
Waiblama, Sikka, Nusa Tenggara Timur (NTT), 5691
Waigete, Sikka, Nusa Tenggara Timur (NTT), 5692
Bandar, Simalungun, Sumatera Utara, 5693
Bandar Huluan, Simalungun, Sumatera Utara, 5694
Bandar Masilam, Simalungun, Sumatera Utara, 5695
Bosar Maligas, Simalungun, Sumatera Utara, 5696
Dolok Batu Nanggar, Simalungun, Sumatera Utara, 5697
Dolok Panribuan, Simalungun, Sumatera Utara, 5698
Dolok Pardamean, Simalungun, Sumatera Utara, 5699
Dolok Silau, Simalungun, Sumatera Utara, 5700
Girsang Sipangan Bolon, Simalungun, Sumatera Utara, 5701
Gunung Malela, Simalungun, Sumatera Utara, 5702
Gunung Maligas, Simalungun, Sumatera Utara, 5703
Haranggaol Horison, Simalungun, Sumatera Utara, 5704
Hatonduhan, Simalungun, Sumatera Utara, 5705
Huta Bayu Raja, Simalungun, Sumatera Utara, 5706
Jawa Maraja Bah Jambi, Simalungun, Sumatera Utara, 5707
Jorlang Hataran, Simalungun, Sumatera Utara, 5708
Panei, Simalungun, Sumatera Utara, 5709
Panombeian Panei, Simalungun, Sumatera Utara, 5710
Pematang Bandar, Simalungun, Sumatera Utara, 5711
Pematang Sidamanik, Simalungun, Sumatera Utara, 5712
Pematang Silima Huta, Simalungun, Sumatera Utara, 5713
Purba, Simalungun, Sumatera Utara, 5714
Raya, Simalungun, Sumatera Utara, 5715
Raya Kahean, Simalungun, Sumatera Utara, 5716
Siantar, Simalungun, Sumatera Utara, 5717
Sidamanik, Simalungun, Sumatera Utara, 5718
Silimakuta, Simalungun, Sumatera Utara, 5719
Silou Kahean, Simalungun, Sumatera Utara, 5720
Tanah Jawa, Simalungun, Sumatera Utara, 5721
Tapian Dolok, Simalungun, Sumatera Utara, 5722
Ujung Padang, Simalungun, Sumatera Utara, 5723
Alapan (Alafan), Simeulue, Nanggroe Aceh Darussalam (NAD), 5724
Salang, Simeulue, Nanggroe Aceh Darussalam (NAD), 5725
Simeuleu Barat, Simeulue, Nanggroe Aceh Darussalam (NAD), 5726
Simeuleu Tengah, Simeulue, Nanggroe Aceh Darussalam (NAD), 5727
Simeuleu Timur, Simeulue, Nanggroe Aceh Darussalam (NAD), 5728
Simeulue Cut, Simeulue, Nanggroe Aceh Darussalam (NAD), 5729
Teluk Dalam, Simeulue, Nanggroe Aceh Darussalam (NAD), 5730
Teupah Barat, Simeulue, Nanggroe Aceh Darussalam (NAD), 5731
Teupah Selatan, Simeulue, Nanggroe Aceh Darussalam (NAD), 5732
Teupah Tengah, Simeulue, Nanggroe Aceh Darussalam (NAD), 5733
Singkawang Barat, Singkawang, Kalimantan Barat, 5734
Singkawang Selatan, Singkawang, Kalimantan Barat, 5735
Singkawang Tengah, Singkawang, Kalimantan Barat, 5736
Singkawang Timur, Singkawang, Kalimantan Barat, 5737
Singkawang Utara, Singkawang, Kalimantan Barat, 5738
Bulupoddo, Sinjai, Sulawesi Selatan, 5739
Pulau Sembilan, Sinjai, Sulawesi Selatan, 5740
Sinjai Barat, Sinjai, Sulawesi Selatan, 5741
Sinjai Borong, Sinjai, Sulawesi Selatan, 5742
Sinjai Selatan, Sinjai, Sulawesi Selatan, 5743
Sinjai Tengah, Sinjai, Sulawesi Selatan, 5744
Sinjai Timur, Sinjai, Sulawesi Selatan, 5745
Sinjai Utara, Sinjai, Sulawesi Selatan, 5746
Tellu Limpoe, Sinjai, Sulawesi Selatan, 5747
Ambalau, Sintang, Kalimantan Barat, 5748
Binjai Hulu, Sintang, Kalimantan Barat, 5749
Dedai, Sintang, Kalimantan Barat, 5750
Kayan Hilir, Sintang, Kalimantan Barat, 5751
Kayan Hulu, Sintang, Kalimantan Barat, 5752
Kelam Permai, Sintang, Kalimantan Barat, 5753
Ketungau Hilir, Sintang, Kalimantan Barat, 5754
Ketungau Hulu, Sintang, Kalimantan Barat, 5755
Ketungau Tengah, Sintang, Kalimantan Barat, 5756
Sepauk, Sintang, Kalimantan Barat, 5757
Serawai (Nanga Serawai), Sintang, Kalimantan Barat, 5758
Sintang, Sintang, Kalimantan Barat, 5759
Sungai Tebelian, Sintang, Kalimantan Barat, 5760
Tempunak, Sintang, Kalimantan Barat, 5761
Arjasa, Situbondo, Jawa Timur, 5762
Asembagus, Situbondo, Jawa Timur, 5763
Banyuglugur, Situbondo, Jawa Timur, 5764
Banyuputih, Situbondo, Jawa Timur, 5765
Besuki, Situbondo, Jawa Timur, 5766
Bungatan, Situbondo, Jawa Timur, 5767
Jangkar, Situbondo, Jawa Timur, 5768
Jatibanteng, Situbondo, Jawa Timur, 5769
Kapongan, Situbondo, Jawa Timur, 5770
Kendit, Situbondo, Jawa Timur, 5771
Mangaran, Situbondo, Jawa Timur, 5772
Mlandingan, Situbondo, Jawa Timur, 5773
Panarukan, Situbondo, Jawa Timur, 5774
Panji, Situbondo, Jawa Timur, 5775
Situbondo, Situbondo, Jawa Timur, 5776
Suboh, Situbondo, Jawa Timur, 5777
Sumbermalang, Situbondo, Jawa Timur, 5778
Berbah, Sleman, DI Yogyakarta, 5779
Cangkringan, Sleman, DI Yogyakarta, 5780
Depok, Sleman, DI Yogyakarta, 5781
